,,,,
Time (sec),Yaw_Front_Left (deg),Yaw_Back_Left (deg),Yaw_Back_Right (deg),Yaw_Front_Right (deg)
45.8,145.7701371,153.2186994,166.0183786,162.8917487
45.84,145.7769232,153.2254029,166.0220453,162.8946247
45.88,145.7831415,153.2316558,166.0252982,162.8971045
45.92,145.7870517,153.2379905,166.0276595,162.9003634
45.96,145.7921528,153.2440273,166.0294369,162.9050456
45.98125,145.792153,153.2469917,166.0297212,162.9068682
46,145.7943054,153.2498978,166.0299444,162.9104881
46.04,145.7991345,153.2550539,166.029968,162.9173055
46.08,145.8140897,153.26317,166.0330301,162.9301822
46.12,145.8451622,153.2725947,166.0383102,162.9508177
46.16,145.895323,153.2829669,166.0449186,162.9815907
46.2,145.9635823,153.2886409,166.0477794,163.0202395
46.24,146.0500161,153.2852454,166.0435838,163.0643326
46.28,146.1640949,153.2700038,166.029852,163.118804
46.31125,146.2706239,153.2495997,166.0116407,163.1688753
46.32,146.3032738,153.2423664,166.0052287,163.1840478
46.36,146.4804048,153.1992475,165.9692188,163.2627891
46.4,146.6922628,153.1442228,165.9233391,163.3583427
46.44,146.9515516,153.0749555,165.8665663,163.476625
46.48,147.2684351,152.9889962,165.7959959,163.62593
46.52,147.6315557,152.8881009,165.7113329,163.8051783
46.56,148.043893,152.7708042,165.6141282,164.0121698
46.6,148.5136751,152.6342813,165.5013647,164.2545314
46.64,149.0331504,152.4786539,165.3707826,164.5342697
46.68,149.5998029,152.3022691,165.2226208,164.8485121
46.72,150.2264461,152.0996302,165.0544141,165.20309
46.76,150.9115321,151.8680145,164.8606385,165.6055153
46.8,151.6553318,151.6038974,164.638846,166.0577786
46.84,152.4723667,151.2991325,164.3844723,166.5686954
46.88,153.37314,150.9426117,164.0867687,167.1514604
46.92,154.3148627,150.4693473,163.6799377,167.781001
46.96,155.2366551,149.7697807,163.0646203,168.399358
47,156.1469139,148.7588323,162.1715221,169.0009585
47.04,157.0787123,147.3125305,160.9038284,169.6008966
47.08,158.0113853,145.2799839,159.1185777,170.2181172
47.12,158.00735,144.4044297,157.9495138,170.5811364
47.12965428,158.0386042,144.3748332,157.9295249,170.5952264
47.16,158.1193078,144.3742305,158.0147308,170.5664315
47.2,158.1102071,144.3637032,158.1113325,170.4349546
47.24,158.0335151,144.289244,158.0951323,170.3023779
47.28,157.9493851,144.1946656,158.0232569,170.2044432
47.32,157.8768009,144.1116817,157.9484483,170.1326686
47.36,157.8147441,144.0414219,157.8842069,170.0725329
47.4,157.757371,143.9781039,157.8275331,170.0157061
47.44,157.7028394,143.9189871,157.7750471,169.9611986
47.48,157.6525619,143.8650701,157.7268773,169.9111604
47.4846875,157.6468142,143.8588305,157.7213323,169.9053908
47.52,157.6069555,143.8161164,157.6829559,169.8657836
47.56,157.5641455,143.7701722,157.641679,169.8231374
47.6,157.5241105,143.7271693,157.6029986,169.7831865
47.64,157.4872958,143.6876832,157.5673683,169.7464279
47.68,157.4539309,143.6519067,157.5349722,169.7130565
47.6925,157.4436452,143.6407714,157.5249468,169.7026842
47.72,157.4236636,143.6193528,157.5054438,169.682641
47.745,157.4041668,143.5983398,157.486465,169.6629973
47.76,157.3945312,143.5878852,157.4769465,169.6532314
47.8,157.3675897,143.5589405,157.4505845,169.6260652
47.84,157.3437709,143.5335308,157.4272305,169.602063
47.88,157.3217076,143.5099188,157.4055176,169.5796816
47.92,157.3010039,143.4875976,157.384998,169.5585343
47.96,157.2814516,143.4665316,157.3655611,169.5385322
48,157.263645,143.4474233,157.3477884,169.5202983
48.0025,157.2625683,143.4462369,157.3466999,169.5191718
48.04,157.24809,143.4307904,157.3321503,169.5042996
48.0553125,157.2413593,143.4234026,157.3253805,169.4972697
48.08,157.233447,143.4148448,157.3172435,169.4890021
48.12,157.219472,143.3997251,157.3030246,169.4744095
48.16,157.2066288,143.3861044,157.2900224,169.4610593
48.2,157.1949298,143.3736654,157.2780705,169.4487999
48.24,157.1846076,143.3625327,157.2673092,169.4378035
48.28,157.1746677,143.3517241,157.2568675,169.427128
48.3125,157.1665702,143.3430219,157.2484164,169.4184903
48.32,157.1651213,143.3413924,157.2468261,169.4168621
48.36,157.1564666,143.3322282,157.2377183,169.4075911
48.4,157.1496116,143.3247986,157.2301802,169.3999854
48.44,157.1428101,143.3174689,157.2227525,169.3924058
48.47,157.1371538,143.3114028,157.2166856,169.3861848
48.48,157.1358891,143.3100131,157.2152223,169.3847033
48.52,157.1295505,143.303247,157.2082549,169.3776225
