"Plot17"
"Time (sec)","Reaction Force21 (newton)"
8.71999999999999,234.298775855133
8.73594064001711,338.611299455546
8.74625335793259,316.182510343596
8.75999999999999,49.4549856189383
8.79999999999999,76.0967989723837
8.80397731181991,84.0139977622222
8.83738977045421,241.545435685469
8.83999999999999,231.891727524803
8.87999999999999,123.47993075089
8.91999999999999,281.33319051542
8.92638167201711,318.884116587326
8.93759516334685,302.763913537177
8.95999999999998,35.2599383336176
8.99999999999998,74.1374210269689
9.0257957036476,235.008559614586
9.03999999999998,140.718958507295
9.03999999999998,140.718958507295
9.07999999999998,143.070818943123
9.11999999999998,323.007117957143
9.12336948784939,297.825086643789
9.15999999999998,66.254516305108
9.18639036458876,77.054606493134
9.19999999999998,75.8366124493247
9.21278033673623,226.893575167087
9.2236881634325,208.699024704093
9.23509579128441,129.562201440933
9.23999999999998,105.960381622496
9.27999999999998,203.283724880551
9.29508034604292,316.157362171639
9.31999999999998,53.046885729424
9.35999999999998,86.6133611701489
9.39429203143375,238.622046890202
9.39999999999998,215.810725386291
9.40838794249967,231.722267893773
9.43999999999997,127.240627313902
9.47999999999997,302.811459007985
9.4860099383489,342.422810520046
9.51999999999997,34.0770712942394
9.55999999999997,94.5361161997901
9.58648784124968,200.74471465619
9.59999999999997,210.635235230149
9.63999999999997,139.442059539633
9.67999999999997,343.369503108953
9.68780591892667,275.955532127493
9.71999999999997,64.9690906167977
9.75999999999997,60.7451041599128
9.77435943029396,185.303585168776
9.79999999999997,137.409517491901
9.83999999999997,187.023324362572
9.86965182633803,224.789862554782
9.87999999999997,61.1216298041603
9.91999999999996,95.199389616839
9.92488241427951,89.4483834225719
9.95139712255881,249.073007332919
9.95999999999996,192.17373361432
9.99999999999996,143.633351118794
10.04,265.388386567317
10.0452531864184,221.300145947127
10.08,81.1896474758017
10.12,176.473221176909
10.1254856018849,270.875012471995
10.16,122.354274380795
10.2,206.12057411757
10.206360860425,241.208944545776
10.2248584006248,196.568909479181
10.24,70.460174522213
10.2767680565303,96.0241648422811
10.28,98.0268596669521
10.32,155.710966342496
10.36,107.123426736581
10.3924904128951,173.859896127783
10.4,185.747637965368
10.4228337873709,150.021012513428
10.44,121.372804168231
10.48,104.081645071245
10.52,204.433925387144
10.56,99.3022376040657
10.5999999999999,114.5307094885
10.6399999999999,150.421977610452
10.6647845590339,153.253867413768
10.6799999999999,127.899479244105
10.7199999999999,90.9068616403245
10.7599999999999,124.815023638876
10.7999999999999,100.396227513427
10.8399999999999,103.221696310823
10.8799999999999,122.760097668933
10.9085997232242,126.397668637901
10.9199999999999,124.318790709305
10.9599999999999,96.1270393116357
10.9667257009852,99.8239043249517
