"Plot22"
"Time (sec)","Velocity1 (mm/sec)"
10.56,200.479572360017
10.5999999999999,216.127880022612
10.6399999999999,214.560631023298
10.6647845590339,217.211820626649
10.6799999999999,203.88311634183
10.7199999999999,237.31280442388
10.7599999999999,225.512096786764
10.7999999999999,241.748073869221
10.8399999999999,263.494713763126
10.8799999999999,243.129496541956
10.9085997232242,256.994564852722
10.9199999999999,248.91355541663
10.9599999999999,250.895609679727
10.9667257009852,245.378026808506
10.9999999999999,222.177404205855
11.0270448770761,270.657525671849
11.0399999999999,270.840742160235
11.0799999999999,312.665413649614
11.0799999999999,312.665413649614
11.1199999999999,192.933500143884
11.1599999999999,122.959685870449
11.1999999999999,122.451369723354
11.1999999999999,122.451369723354
11.2399999999999,125.529815326901
11.2799999999999,127.415095824019
11.3199999999999,129.130658411126
11.3599999999999,130.933834399157
11.3999999999999,132.752610287902
11.4399999999999,134.386965692589
11.4799999999999,136.040857306058
11.5199999999999,138.756766451215
11.5599999999999,148.865193886916
11.5999999999999,158.673267685378
11.6399999999999,165.261450144283
11.6799999999999,164.893874606021
11.7199999999999,158.814378998541
11.7599999999999,150.681642026369
11.7999999999999,143.112728261979
11.8399999999999,139.256605173315
11.8799999999999,142.774445171392
11.9199999999999,132.924159364206
11.9599999999999,122.948353543692
11.9999999999999,114.808756818175
12.0399999999999,103.08091616309
12.0799999999999,93.933170885807
12.1199999999999,89.0122350125573
12.1599999999999,85.0638323782143
12.1999999999999,80.7538777418905
12.2399999999999,76.0473527769314
12.2799999999999,71.3509853086056
12.3199999999999,66.6077826216124
12.3599999999999,64.4342990228039
12.3835286458332,71.4463303094869
12.3999999999999,120.320459481237
12.4399999999999,144.623723411083
12.4799999999999,155.0456706387
12.5199999999999,157.3371078792
12.5599999999999,156.663828473928
12.5999999999999,155.662247954379
12.6374999999999,155.290372351476
12.6399999999999,155.276906846658
12.6729687499999,155.29779952518
12.6799999999999,155.383668510505
12.6870312499999,155.448760069796
12.7199999999999,155.687313186517
12.7599999999999,155.947702575422
12.7999999999999,156.145803696025
12.8399999999999,156.326350886869
12.8799999999999,156.469402502881
12.9199999999999,156.595576788609
12.9599999999999,156.810816078757
12.9799999999999,156.967039874397
12.9999999999999,157.10847218306
13.0199999999999,157.164683785964
13.0399999999999,157.324694083492
13.0799999999999,157.389234151937
13.1199999999999,157.395032108321
13.1599999999999,157.429154997584
13.1999999999999,157.458207296195
13.2399999999999,157.434970701442
13.2799999999999,157.355906471845
13.2924999999999,157.414110798574
13.3199999999999,157.373831621949
13.3287499999999,157.347903142638
13.3599999999999,157.441097185142
13.3999999999999,157.547434769507
13.4399999999999,157.443858615224
13.4799999999999,157.55265794249
13.5199999999999,157.722053053135
13.5599999999999,157.704406934351
13.5999999999999,157.834979335717
13.6399999999999,157.877898154071
13.6799999999999,157.663149907517
13.7199999999999,158.251396598932
13.7599999999999,159.061362383717
13.7999999999999,156.846734585715
13.8399999999999,154.910221195592
13.8799999999999,156.842415973115
13.9199999999999,153.845001152621
13.9599999999999,152.525794640819
13.9999999999999,151.07726484901
14.0399999999999,152.57429553107
14.0799999999999,153.532482919631
14.1199999999999,150.826743859785
14.1599999999999,145.537531144657
14.1999999999999,141.742089752061
14.2399999999999,141.509662874088
14.2799999999999,139.554825882387
14.3199999999999,136.623985327378
14.3599999999999,135.906213515142
14.3999999999999,138.2861843184
14.4399999999999,153.366940716434
14.4799999999999,153.026095242984
14.5199999999999,153.005258819158
14.5599999999999,143.416238903129
14.5999999999999,131.236828972495
14.6399999999999,129.665082929495
14.6799999999999,129.761861066174
14.7199999999999,129.202241749833
14.7599999999999,129.698740593524
14.7999999999999,129.194437160079
14.8399999999999,129.013888082737
14.8799999999999,128.77692290959
14.9199999999999,129.423262616452
14.9599999999999,132.361767529153
14.9999999999999,144.391309128338
15.0399999999999,150.97429071123
15.0799999999999,150.538727015844
15.1199999999999,149.66455639058
15.1199999999999,149.66455639058
15.1599999999999,148.608362168512
15.1599999999999,148.608362168512
15.1999999999999,147.767429678688
15.2399999999999,146.615937097831
15.2799999999999,146.106351033067
15.3199999999998,145.7047601832
15.3199999999998,145.7047601832
15.3599999999998,142.565210865812
15.3925841307473,145.117194033537
15.3999999999998,144.263945591251
15.4399999999998,148.188775252163
15.4799999999998,145.632260395234
15.4946202878963,142.013734413585
15.5199999999998,140.514651611954
15.5543340845583,139.205607597751
15.5599999999998,139.028351763043
15.5999999999998,138.952832104147
15.6399999999998,139.273620481577
15.6606249999998,139.452999614329
15.6799999999998,139.926566950236
15.7099999999998,139.665353048599
15.7199999999998,139.568240339368
15.7599999999998,139.425034741418
15.7999999999998,139.767920717387
15.8399999999998,137.875418635549
15.8799999999998,136.747673130265
15.9199999999998,136.570309534748
15.9599999999998,135.875780641705
15.9999999999998,147.7645324395
16.0399999999998,162.557130259005
16.0799999999998,174.852568155653
16.1199999999998,186.101543746446
16.1599999999998,201.555138723681
16.1999999999998,214.019143247471
16.2399999999998,207.338652928038
16.2799999999998,192.184913938297
16.2799999999998,192.184913938297
16.3199999999998,209.044732360327
16.3599999999998,238.776326972215
16.3863736979165,257.492900499366
16.3999999999998,268.915451201004
16.4399999999998,301.637252216237
16.4799999999998,327.698015351385
16.5199999999998,355.457636199875
16.5599999999998,394.163561704432
16.5999999999998,452.072674280431
16.6399999999998,531.227092926449
16.6799999999998,627.803452535384
16.7199999999998,742.967571319122
16.7599999999998,881.633175256775
16.7999999999998,720.641521975461
16.8399999999998,188.470005854399
16.8799999999998,89.0319088763091
16.9199999999998,132.593942579112
16.9599999999998,223.435483422575
16.9999999999998,284.224592200792
17.0399999999998,309.736845488429
17.0799999999998,330.418350034889
17.1199999999998,372.115037006327
17.1599999999998,453.152941949099
17.1999999999998,603.381568304253
17.2328640747068,786.796745682559
17.2399999999998,638.416630188665
17.2548483785154,361.738230367245
17.2695206342879,221.23303214312
17.2799999999998,175.579583459121
17.2937387962841,161.615274479449
17.3199999999998,163.318194621104
17.3599999999998,179.394148899081
17.3999999999998,183.058325854529
17.4399999999998,157.634767074435
17.4799999999998,158.613761604195
17.5199999999998,158.970977154361
17.5599999999998,158.510910619978
17.5999999999998,158.148745767079
17.6299999999998,158.255462587827
17.6399999999998,158.11158942398
17.6799999999998,158.165258073011
17.7199999999998,157.96343336702
17.7599999999998,157.762803466401
17.7999999999998,157.702286914514
17.8399999999998,157.797252293181
17.8799999999998,157.827249494219
17.9199999999998,157.608657301534
17.9599999999998,157.500631803345
17.9999999999998,157.547930268466
18.0399999999998,157.683333432113
18.0799999999998,157.49515857304
18.1199999999998,157.339563422872
18.1599999999998,157.343682375114
18.1999999999998,157.478111055459
18.2069193334299,157.380117926014
18.2399999999998,146.339168723992
18.2799999999998,146.64138290704
18.3199999999998,116.104742519647
18.3599999999998,43.0328098439704
18.3999999999998,14.1499002425491
18.4399999999998,15.871232495965
18.4799999999998,33.5291539589144
18.5199999999998,44.7533286613047
18.5599999999998,53.5981437711625
18.5999999999998,59.7912572283267
18.6399999999998,63.4987775861217
18.6799999999998,69.2974664593675
18.7199999999998,77.3335395082675
18.7599999999998,82.6669312317598
18.7999999999998,86.4870480402794
18.8399999999998,93.5901570508425
18.8799999999998,112.599268213781
18.9199999999998,127.973496221435
18.9599999999998,129.486115995564
18.9999999999998,131.404656075161
19.0399999999998,132.890643170496
19.0799999999998,133.909228309582
19.1199999999998,134.67680051665
19.1599999999998,148.984925531657
19.1999999999998,155.72901777495
19.2399999999998,156.644867438537
19.2799999999998,156.863966219798
19.3199999999998,156.276065343963
19.3599999999998,155.906170844284
19.3999999999998,156.545126990481
19.4399999999998,156.863900365074
19.4799999999998,156.936685017755
19.5199999999998,156.919909545259
19.5599999999998,156.928123635715
19.5999999999998,156.977090131019
19.6399999999998,157.017913247168
19.6799999999998,156.953495530289
19.7199999999998,156.935433018712
19.7599999999998,156.967736520615
19.7999999999998,157.206486113644
19.8399999999998,157.092595516552
19.8799999999998,157.084491135335
19.9199999999998,157.06295517354
19.9199999999998,157.06295517354
