"Plot23"
"Time (sec)","Velocity2 (mm/sec)"
9.12336948784939,83.2314157205094
9.15999999999998,161.426464621577
9.18639036458876,154.716978116564
9.19999999999998,137.467331115465
9.21278033673623,103.317165206746
9.2236881634325,140.394129140199
9.23509579128441,139.843655985545
9.23999999999998,151.96632425022
9.27999999999998,150.325431840619
9.29508034604292,113.085440664788
9.31999999999998,155.061052042054
9.35999999999998,156.316475692
9.39429203143375,117.676241395528
9.39999999999998,102.155571155025
9.40838794249967,159.486658174865
9.43999999999997,159.922402945416
9.47999999999997,136.994510100999
9.4860099383489,117.328325772674
9.51999999999997,154.871662725584
9.55999999999997,156.398346165901
9.58648784124968,125.715323033862
9.59999999999997,160.425109497701
9.63999999999997,169.588589054578
9.67999999999997,138.048900398894
9.68780591892667,128.626743126704
9.71999999999997,177.007526381564
9.75999999999997,160.996123856026
9.77435943029396,148.353001144013
9.79999999999997,178.136330681939
9.83999999999997,163.094409977414
9.86965182633803,153.44326382816
9.87999999999997,174.306978074948
9.91999999999996,168.318372603831
9.92488241427951,166.033186963617
9.95139712255881,173.036632263898
9.95999999999996,172.591360018715
9.99999999999996,172.940730851052
10.04,173.565037913206
10.0452531864184,165.005176750173
10.08,182.952061630211
10.12,184.681966134597
10.1254856018849,187.869198571055
10.16,188.099529923092
10.2,176.772840853475
10.206360860425,180.341590763716
10.2248584006248,167.449310923012
10.24,182.120225657319
10.2767680565303,177.881691621911
10.28,176.990792379846
10.32,158.038504305606
10.36,183.554438417728
10.3924904128951,178.00378606993
10.4,169.250781939265
10.4228337873709,160.355951917453
10.44,172.827792054228
10.48,182.1165518605
10.52,179.558602492216
10.56,177.586715080327
10.5999999999999,179.583005671636
10.6399999999999,185.892800702455
10.6647845590339,194.427501389234
10.6799999999999,184.800857020034
10.7199999999999,183.398432536468
10.7599999999999,179.559293534272
10.7999999999999,201.078845098225
10.8399999999999,183.756695267573
10.8799999999999,172.958204601581
10.9085997232242,184.726759140213
10.9199999999999,180.635782377411
10.9599999999999,181.087778299436
10.9667257009852,178.995006850825
10.9999999999999,172.454232446657
11.0270448770761,209.142902085597
11.0399999999999,208.473570429666
11.0799999999999,192.539432349987
11.0799999999999,192.539432349987
11.1199999999999,116.161556540287
11.1599999999999,63.3153298827021
11.1999999999999,33.0890194662484
11.1999999999999,33.0890194662484
11.2399999999999,35.475507740122
11.2799999999999,43.2199853101212
11.3199999999999,48.340125409731
11.3599999999999,51.4941284590534
11.3999999999999,54.8292531211216
11.4399999999999,58.3413400877908
11.4799999999999,62.0196244431759
11.5199999999999,67.4952703526086
11.5599999999999,73.5390738675717
11.5999999999999,76.8977344571481
11.6399999999999,79.4440006459764
11.6799999999999,77.9456462591101
11.7199999999999,78.4468047018782
11.7599999999999,80.0972069134624
11.7999999999999,80.263971798079
11.8399999999999,78.505356620051
11.8799999999999,81.0138906875921
11.9199999999999,80.1956247933777
11.9599999999999,77.9364840506559
11.9999999999999,75.7390091926912
12.0399999999999,76.081238258653
12.0799999999999,74.6710312148386
12.1199999999999,71.9511434566546
12.1599999999999,68.9440911150278
12.1999999999999,65.6583795423748
12.2399999999999,61.8121238843718
12.2799999999999,58.3636036990722
12.3199999999999,56.8022937652588
12.3599999999999,59.5811403922038
12.3835286458332,67.7302724346363
12.3999999999999,115.837699516497
12.4399999999999,143.82725778568
12.4799999999999,154.967432192988
12.5199999999999,156.970813806756
12.5599999999999,156.509190069554
12.5999999999999,155.639037375074
12.6374999999999,155.282234464897
12.6399999999999,155.268895528431
12.6729687499999,155.289659434554
12.6799999999999,155.375679210889
12.6870312499999,155.440946984108
12.7199999999999,155.675989214073
12.7599999999999,155.93671475659
12.7999999999999,156.137665610462
12.8399999999999,156.319104629013
12.8799999999999,156.462223963916
12.9199999999999,156.588710718753
12.9599999999999,156.80628645894
12.9799999999999,156.961999133779
12.9999999999999,157.10505002322
13.0199999999999,157.16134024048
13.0399999999999,157.321984213985
13.0799999999999,157.387078186763
13.1199999999999,157.39324501835
13.1599999999999,157.42707054734
13.1999999999999,157.456349611916
13.2399999999999,157.433510509891
13.2799999999999,157.354554162193
