"Plot18"
"Time (sec)","Reaction Force22 (newton)"
10.7199999999999,1.30522555037782e-14
10.7599999999999,1.3554412277664e-14
10.7999999999999,1.40565690515497e-14
10.8399999999999,1.45587258254353e-14
10.8799999999999,-1.49640427542812e-14
10.9085997232242,-1.20604771808278e-16
10.9199999999999,-4.54097172577287e-16
10.9599999999999,-2.70051586544325e-15
10.9667257009852,-3.09479792410634e-15
10.9999999999999,-5.04544353633997e-15
11.0270448770761,-6.63090055163707e-15
11.0399999999999,-7.39037120723593e-15
11.0799999999999,317.24473824353
11.0799999999999,317.24473824353
11.1199999999999,172.109628522783
11.1599999999999,173.740397417621
11.1999999999999,167.879009024108
11.1999999999999,167.879009024108
11.2399999999999,165.13941057486
11.2799999999999,165.366938757858
11.3199999999999,165.158116831994
11.3599999999999,162.33263363884
11.3999999999999,156.933764290913
11.4399999999999,150.797145636446
11.4799999999999,143.602255323058
11.5199999999999,139.298783603793
11.5599999999999,140.326933048081
11.5999999999999,145.854417155074
11.6399999999999,151.315677447238
11.6799999999999,151.739416583712
11.7199999999999,148.960782411689
11.7599999999999,143.606665568637
11.7999999999999,135.076381939989
11.8399999999999,119.022528480261
11.8799999999999,92.776630195236
11.9199999999999,85.398289962496
11.9599999999999,66.3847500159919
11.9999999999999,45.6718066253512
12.0399999999999,43.7073058247574
12.0799999999999,42.3913573822139
12.1199999999999,41.3267000935784
12.1599999999999,40.74494040398
12.1999999999999,40.8268322085465
12.2399999999999,41.6890975515016
12.2799999999999,42.6456212577338
12.3199999999999,43.6897301501474
12.3599999999999,44.3371715044862
12.3835286458332,44.7745289754652
12.3999999999999,56.3830153762986
12.4399999999999,50.6011797836473
12.4799999999999,47.9584681700434
12.5199999999999,47.3859834534118
12.5599999999999,48.2435883928924
12.5999999999999,48.7655369549197
12.6374999999999,48.3851205297915
12.6399999999999,48.3998957313185
12.6729687499999,47.7446821944043
12.6799999999999,47.7257658144641
12.6870312499999,47.7666531608142
12.7199999999999,47.1929437967338
12.7599999999999,47.318062480381
12.7999999999999,47.0526744487516
12.8399999999999,46.7496138095972
12.8799999999999,46.5067584894217
12.9199999999999,46.6933630201285
12.9599999999999,46.7380310982543
12.9799999999999,46.4012833436185
12.9999999999999,46.6824678513509
13.0199999999999,46.8961639351431
13.0399999999999,46.6399541739912
13.0799999999999,46.7763480491511
13.1199999999999,47.2408776991921
13.1599999999999,47.2835583018648
13.1999999999999,47.2409829971931
13.2399999999999,47.2397718089883
13.2799999999999,47.7030224944275
13.2924999999999,47.3387529409104
13.3199999999999,47.8273921930914
13.3287499999999,47.9414548876994
13.3599999999999,47.8761212551382
13.3999999999999,47.8598841530953
13.4399999999999,48.6689414509769
13.4799999999999,49.3534805924379
13.5199999999999,49.578964522242
13.5599999999999,50.5651097314909
13.5999999999999,51.3986621662119
13.6399999999999,52.7961460367862
13.6799999999999,53.4618970265907
13.7199999999999,55.0223466787602
13.7599999999999,59.5118384798521
13.7999999999999,64.5504031730044
13.8399999999999,68.1470478713904
13.8799999999999,75.6747878359632
13.9199999999999,84.2359452623662
13.9599999999999,91.0492746639724
13.9999999999999,98.1348199785416
14.0399999999999,100.960179679271
14.0799999999999,106.501742728401
